Country	Region
Kazakhstan	Muslim
Azerbaijan	Muslim
Uzbekistan	Muslim
Turkey	Muslim
United Arab Emirates	Muslim
Iraq	Muslim
Yemen	Muslim
Bahrain	Muslim
Syria	Muslim
Jordan	Muslim
Oman	Muslim
Lebanon	Muslim
Qatar	Muslim
Kuwait	Muslim
Saudi Arabia	Muslim
Tunisia	Muslim
Morocco	Muslim
Algeria	Muslim
Libya	Muslim
Bangladesh	Muslim
Pakistan	Muslim
Egypt	Muslim
Somalia	Muslim
Sudan	Muslim
Iran	Muslim
Afghanistan	Muslim
Czech Republic	European
Slovakia	European
Hungary	European
Poland	European
Bosnia and Herzegovina	European
Serbia	European
Slovenia	European
Montenegro	European
Bulgaria	European
Croatia	European
Macedonia	European
Germany	European
Austria	European
Netherlands	European
Switzerland	European
Belgium	European
France	European
Latvia	European
Estonia	European
Lithuania	European
Romania	European
Italy	European
Russia	European
Belarus	European
Ukraine	European
Congo	African
Liberia	African
Senegal	African
Sierra Leone	African
Guinea	African
Ghana	African
Togo	African
Benin	African
Nigeria	African
Bostwana	African
Namibia	African
Zimbabwe	African
South Africa	African
Zambia	African
Rwanda	African
Tanzania	African
Kenya	African
South Sudan	African
Ethiopia	African
Uganda	African
Cambodia	EastAsian
Myanmar	EastAsian
Thailand	EastAsian
Vietnam	EastAsian
Singapore	EastAsian
Hong Kong	EastAsian
China	EastAsian
Taiwan	EastAsian
Indonesia	EastAsian
Malaysia	EastAsian
South Korea	EastAsian
Japan	EastAsian
Dominican Republic	Hispanic
Uruguay	Hispanic
Guatemala	Hispanic
Colombia	Hispanic
Venezuela	Hispanic
Chile	Hispanic
Panama	Hispanic
Bolivia	Hispanic
El Salvador	Hispanic
Ecuador	Hispanic
Argentina	Hispanic
Honduras	Hispanic
Peru	Hispanic
Costa Rica	Hispanic
Paraguay	Hispanic
Mexico	Hispanic
Spain	Hispanic
Nicaragua	Hispanic
Portugal	Hispanic
Brazil	Hispanic
Angola	Hispanic
Mozambique	Hispanic
Philippines	Hispanic
Denmark	Nordic
Sweden	Nordic
Norway	Nordic
Finland	Nordic
Nepal	SouthAsian
India	SouthAsian
Sri Lanka	SouthAsian
Ireland	CelticEnglish
United Kingdom	CelticEnglish
Israel	Jewish
Greece	Greek
